time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.400000,1.021858,-1.918512,0.995533,-0.303168,0.305927,-0.028983,1.089594,-0.975162,1.003078,-0.021504,0.088594,-0.009234,1.120885,0.008382,1.007045,0.002926,0.047464,-0.005419,1.083756,0.981609,1.002028,-0.065632,-0.039813,-0.014234,1.017291,1.919647,0.995532,-0.334013,-0.291759,-0.028232,-1.043710,-1.901252,0.995282,0.216254,0.361296,-0.029648,-1.095194,-0.963986,0.997627,-0.001102,0.164947,-0.026326,-1.102368,0.051858,0.995386,-0.019014,0.158882,-0.030731,-1.044009,1.001031,0.996149,0.172334,0.006087,-0.028795
0.420000,1.015758,-1.912353,0.994947,-0.306850,0.309991,-0.029608,1.089160,-0.973375,1.002886,-0.021888,0.090084,-0.010024,1.120929,0.009340,1.006928,0.001526,0.048327,-0.006295,1.082429,0.980811,1.001735,-0.067143,-0.040054,-0.015088,1.010567,1.913777,0.994962,-0.338403,-0.295341,-0.028821,-1.039358,-1.893985,0.994683,0.218971,0.365408,-0.030253,-1.095215,-0.960656,0.997092,-0.000988,0.168062,-0.027083,-1.102747,0.055038,0.994765,-0.018833,0.159140,-0.031379,-1.040550,1.001148,0.995566,0.173588,0.005607,-0.029473
0.440000,1.009583,-1.906111,0.994349,-0.310694,0.314225,-0.030253,1.088718,-0.971558,1.002677,-0.022309,0.091649,-0.010842,1.120946,0.010315,1.006793,0.000149,0.049194,-0.007217,1.081070,0.980007,1.001425,-0.068727,-0.040328,-0.015967,1.003754,1.907833,0.994379,-0.342971,-0.299068,-0.029428,-1.034951,-1.886635,0.994071,0.221762,0.369648,-0.030875,-1.095233,-0.957262,0.996543,-0.000864,0.171305,-0.027862,-1.103121,0.058223,0.994131,-0.018640,0.159376,-0.032038,-1.037065,1.001255,0.994970,0.174895,0.005104,-0.030168
0.460000,1.003329,-1.899783,0.993737,-0.314699,0.318629,-0.030917,1.088268,-0.969709,1.002452,-0.022767,0.093289,-0.011688,1.120935,0.011308,1.006639,-0.001206,0.050063,-0.008186,1.079679,0.979197,1.001096,-0.070384,-0.040636,-0.016871,0.996847,1.901813,0.993785,-0.347718,-0.302941,-0.030052,-1.030487,-1.879199,0.993448,0.224627,0.374014,-0.031514,-1.095249,-0.953803,0.995978,-0.000732,0.174676,-0.028664,-1.103492,0.061413,0.993483,-0.018435,0.159590,-0.032710,-1.033553,1.001352,0.994359,0.176253,0.004579,-0.030879
0.480000,0.996994,-1.893365,0.993112,-0.318865,0.323202,-0.031601,1.087807,-0.967826,1.002209,-0.023261,0.095004,-0.012562,1.120898,0.012318,1.006465,-0.002539,0.050935,-0.009201,1.078254,0.978381,1.000750,-0.072115,-0.040977,-0.017802,0.989844,1.895714,0.993177,-0.352644,-0.306959,-0.030693,-1.025965,-1.871674,0.992811,0.227567,0.378508,-0.032170,-1.095263,-0.950274,0.995396,-0.000589,0.178174,-0.029489,-1.103859,0.064607,0.992822,-0.018220,0.159783,-0.033393,-1.030014,1.001438,0.993735,0.177663,0.004030,-0.031606
0.500000,0.990574,-1.886854,0.992473,-0.323193,0.327945,-0.032304,1.087337,-0.965908,1.001949,-0.023793,0.096794,-0.013464,1.120834,0.013345,1.006270,-0.003849,0.051810,-0.010262,1.076794,0.977558,1.000384,-0.073920,-0.041352,-0.018757,0.982740,1.889534,0.992557,-0.357749,-0.311123,-0.031352,-1.021384,-1.864058,0.992161,0.230580,0.383129,-0.032843,-1.095273,-0.946675,0.994798,-0.000438,0.181800,-0.030338,-1.104221,0.067804,0.992148,-0.017993,0.159953,-0.034088,-1.026447,1.001513,0.993095,0.179125,0.003459,-0.032350
0.520000,0.984065,-1.880246,0.991820,-0.327657,0.332813,-0.033024,1.086855,-0.963954,1.001671,-0.024375,0.098645,-0.014395,1.120744,0.014390,1.006054,-0.005107,0.052668,-0.011367,1.075297,0.976727,0.999999,-0.075784,-0.041776,-0.019735,0.975533,1.883269,0.991923,-0.362984,-0.315396,-0.032024,-1.016742,-1.856348,0.991497,0.233636,0.387839,-0.033530,-1.095280,-0.943002,0.994183,-0.000283,0.185531,-0.031204,-1.104578,0.071005,0.991459,-0.017759,0.160109,-0.034791,-1.022849,1.001577,0.992440,0.180631,0.002875,-0.033105
0.540000,0.977466,-1.873541,0.991152,-0.332231,0.337764,-0.033756,1.086362,-0.961962,1.001373,-0.025022,0.100543,-0.015355,1.120630,0.015452,1.005815,-0.006285,0.053489,-0.012513,1.073762,0.975887,0.999595,-0.077693,-0.042265,-0.020733,0.968220,1.876917,0.991276,-0.368300,-0.319740,-0.032707,-1.012038,-1.848544,0.990819,0.236701,0.392600,-0.034226,-1.095284,-0.939253,0.993550,-0.000129,0.189347,-0.032082,-1.104931,0.074208,0.990756,-0.017520,0.160259,-0.035498,-1.019221,1.001628,0.991771,0.182172,0.002286,-0.033867
0.560000,0.970775,-1.866735,0.990469,-0.336914,0.342796,-0.034500,1.085854,-0.959932,1.001056,-0.025733,0.102489,-0.016345,1.120493,0.016530,1.005553,-0.007382,0.054272,-0.013699,1.072189,0.975036,0.999170,-0.079647,-0.042819,-0.021751,0.960801,1.870478,0.990615,-0.373698,-0.324155,-0.033400,-1.007274,-1.840644,0.990128,0.239777,0.397414,-0.034933,-1.095285,-0.935427,0.992899,0.000022,0.193247,-0.032974,-1.105279,0.077415,0.990039,-0.017277,0.160404,-0.036210,-1.015562,1.001668,0.991086,0.183750,0.001692,-0.034636
0.580000,0.963989,-1.859828,0.989772,-0.341708,0.347910,-0.035257,1.085332,-0.957862,1.000719,-0.026509,0.104482,-0.017364,1.120336,0.017623,1.005267,-0.008399,0.055019,-0.014926,1.070576,0.974173,0.998724,-0.081647,-0.043437,-0.022788,0.953272,1.863951,0.989940,-0.379177,-0.328641,-0.034103,-1.002447,-1.832647,0.989422,0.242864,0.402279,-0.035649,-1.095283,-0.931523,0.992231,0.000172,0.197231,-0.033878,-1.105622,0.080624,0.989308,-0.017030,0.160542,-0.036926,-1.011871,1.001696,0.990385,0.185364,0.001094,-0.035411
0.600000,0.957106,-1.852818,0.989059,-0.346611,0.353105,-0.036026,1.084793,-0.955752,1.000361,-0.027350,0.106522,-0.018412,1.120158,0.018730,1.004956,-0.009335,0.055729,-0.016194,1.068923,0.973298,0.998258,-0.083691,-0.044121,-0.023845,0.945633,1.857332,0.989251,-0.384738,-0.333198,-0.034818,-0.997559,-1.824552,0.988702,0.245961,0.407196,-0.036376,-1.095278,-0.927537,0.991544,0.000319,0.201299,-0.034795,-1.105960,0.083837,0.988562,-0.016778,0.160675,-0.037646,-1.008147,1.001712,0.989669,0.187013,0.000492,-0.036194
