time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.200000,1.001047,-0.997249,1.013002,0.017369,-0.001630,0.033507,1.004796,-0.000361,1.009342,0.032996,0.000837,0.017867,1.001531,0.996804,1.013151,0.020298,0.001206,0.038878,0.004230,-1.004138,1.009137,0.024223,-0.033686,0.019680,-0.014738,0.006073,1.008793,-0.144457,0.052453,0.017941,0.005108,1.004051,1.009181,0.020940,0.033810,0.019386,-0.994299,-1.005660,1.014034,0.019245,-0.038526,0.040124,-1.006645,-0.011513,1.012212,-0.050277,-0.061891,0.038204,-0.994057,1.005429,1.013416,0.022580,0.043010,0.044517
0.210000,1.001221,-0.997266,1.013337,0.017387,-0.001679,0.033460,1.005126,-0.000353,1.009520,0.032996,0.000852,0.017856,1.001734,0.996816,1.013540,0.020316,0.001266,0.038853,0.004472,-1.004475,1.009334,0.024226,-0.033709,0.019685,-0.016184,0.006598,1.008972,-0.144712,0.052523,0.017959,0.005317,1.004389,1.009375,0.020900,0.033836,0.019388,-0.994107,-1.006045,1.014435,0.019187,-0.038520,0.040083,-1.007148,-0.012132,1.012594,-0.050304,-0.061870,0.038207,-0.993832,1.005859,1.013861,0.022531,0.043033,0.044517
0.220000,1.001395,-0.997283,1.013671,0.017404,-0.001727,0.033407,1.005455,-0.000344,1.009699,0.032997,0.000869,0.017847,1.001937,0.996829,1.013928,0.020332,0.001327,0.038823,0.004714,-1.004812,1.009531,0.024230,-0.033735,0.019692,-0.017632,0.007123,1.009152,-0.144982,0.052597,0.017979,0.005525,1.004727,1.009569,0.020857,0.033865,0.019392,-0.993916,-1.006431,1.014835,0.019126,-0.038509,0.040036,-1.007652,-0.012750,1.012976,-0.050328,-0.061846,0.038209,-0.993607,1.006290,1.014306,0.022480,0.043054,0.044514
0.230000,1.001569,-0.997300,1.014005,0.017419,-0.001775,0.033349,1.005785,-0.000335,1.009877,0.032999,0.000887,0.017839,1.002141,0.996842,1.014316,0.020345,0.001389,0.038790,0.004956,-1.005150,1.009728,0.024235,-0.033762,0.019701,-0.019083,0.007650,1.009332,-0.145268,0.052674,0.018002,0.005734,1.005066,1.009763,0.020812,0.033896,0.019398,-0.993725,-1.006816,1.015235,0.019063,-0.038494,0.039985,-1.008155,-0.013369,1.013358,-0.050350,-0.061820,0.038210,-0.993382,1.006720,1.014751,0.022426,0.043072,0.044510
0.240000,1.001743,-0.997318,1.014338,0.017431,-0.001823,0.033286,1.006115,-0.000326,1.010055,0.033001,0.000906,0.017832,1.002344,0.996857,1.014704,0.020356,0.001452,0.038753,0.005199,-1.005488,1.009925,0.024242,-0.033792,0.019713,-0.020537,0.008177,1.009512,-0.145568,0.052755,0.018027,0.005942,1.005405,1.009957,0.020764,0.033930,0.019406,-0.993534,-1.007200,1.015635,0.018996,-0.038474,0.039928,-1.008659,-0.013987,1.013740,-0.050370,-0.061790,0.038209,-0.993158,1.007151,1.015196,0.022370,0.043087,0.044503
0.250000,1.001917,-0.997337,1.014671,0.017442,-0.001871,0.033217,1.006445,-0.000317,1.010234,0.033005,0.000927,0.017826,1.002548,0.996871,1.015091,0.020364,0.001516,0.038711,0.005441,-1.005826,1.010122,0.024250,-0.033825,0.019728,-0.021995,0.008705,1.009692,-0.145884,0.052839,0.018055,0.006149,1.005745,1.010151,0.020715,0.033967,0.019417,-0.993345,-1.007585,1.016034,0.018927,-0.038450,0.039866,-1.009162,-0.014604,1.014122,-0.050388,-0.061758,0.038207,-0.992935,1.007582,1.015641,0.022311,0.043100,0.044495
0.260000,1.002092,-0.997356,1.015003,0.017450,-0.001918,0.033144,1.006776,-0.000308,1.010412,0.033008,0.000949,0.017822,1.002752,0.996887,1.015478,0.020369,0.001581,0.038665,0.005684,-1.006164,1.010320,0.024259,-0.033859,0.019744,-0.023455,0.009233,1.009873,-0.146215,0.052926,0.018085,0.006356,1.006085,1.010345,0.020663,0.034006,0.019430,-0.993156,-1.007969,1.016432,0.018855,-0.038421,0.039799,-1.009666,-0.015222,1.014504,-0.050405,-0.061724,0.038203,-0.992712,1.008013,1.016086,0.022250,0.043111,0.044484
0.270000,1.002266,-0.997375,1.015334,0.017456,-0.001966,0.033065,1.007106,-0.000298,1.010590,0.033013,0.000972,0.017819,1.002955,0.996903,1.015864,0.020372,0.001647,0.038615,0.005926,-1.006503,1.010517,0.024269,-0.033896,0.019763,-0.024919,0.009763,1.010054,-0.146561,0.053017,0.018117,0.006562,1.006425,1.010540,0.020608,0.034048,0.019445,-0.992968,-1.008354,1.016830,0.018780,-0.038387,0.039727,-1.010170,-0.015839,1.014886,-0.050419,-0.061686,0.038199,-0.992490,1.008444,1.016531,0.022185,0.043118,0.044472
0.280000,1.002441,-0.997395,1.015664,0.017460,-0.002013,0.032980,1.007436,-0.000288,1.010768,0.033019,0.000996,0.017817,1.003159,0.996920,1.016250,0.020372,0.001713,0.038561,0.006169,-1.006842,1.010715,0.024281,-0.033935,0.019785,-0.026386,0.010294,1.010235,-0.146922,0.053111,0.018152,0.006768,1.006766,1.010734,0.020552,0.034092,0.019462,-0.992780,-1.008737,1.017227,0.018702,-0.038349,0.039649,-1.010675,-0.016455,1.015268,-0.050431,-0.061646,0.038193,-0.992268,1.008876,1.016976,0.022119,0.043124,0.044457
0.290000,1.002616,-0.997416,1.015993,0.017462,-0.002059,0.032891,1.007766,-0.000278,1.010946,0.033025,0.001022,0.017816,1.003363,0.996937,1.016636,0.020369,0.001781,0.038503,0.006412,-1.007182,1.010913,0.024294,-0.033976,0.019809,-0.027858,0.010825,1.010417,-0.147298,0.053209,0.018190,0.006973,1.007107,1.010929,0.020493,0.034139,0.019481,-0.992594,-1.009120,1.017623,0.018621,-0.038307,0.039567,-1.011179,-0.017072,1.015650,-0.050441,-0.061604,0.038186,-0.992048,1.009307,1.017420,0.022049,0.043126,0.044440
0.300000,1.002790,-0.997436,1.016322,0.017462,-0.002106,0.032796,1.008096,-0.000268,1.011125,0.033032,0.001049,0.017817,1.003566,0.996955,1.017020,0.020363,0.001850,0.038441,0.006655,-1.007521,1.011111,0.024309,-0.034020,0.019835,-0.029332,0.011358,1.010599,-0.147690,0.053310,0.018230,0.007178,1.007448,1.011124,0.020432,0.034188,0.019503,-0.992408,-1.009503,1.018018,0.018538,-0.038259,0.039479,-1.011683,-0.017688,1.016032,-0.050449,-0.061558,0.038178,-0.991827,1.009738,1.017865,0.021977,0.043126,0.044422
